學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
593302,市立瑞祥高中,54,149,2,4,6,14,27,500,438,177,154
613301,市立小港高中,43,58,9,5,5,7,45,861,873,249,289
710301,國立金門高中,42,28,0,0,7,12,30,481,491,132,168
720301,國立馬祖高中,21,12,0,4,8,8,12,192,143,58,50
011405,私立樹人家商,32,105,14,19,4,21,76,697,2521,190,999
011407,私立復興商工,70,53,61,40,8,25,100,1758,2946,558,1005
011408,私立南強工商,44,37,29,17,11,10,53,1166,773,424,181
011413,私立穀保家商,37,77,41,33,5,18,77,1537,1592,441,615
011419,私立開明工商,34,49,52,36,6,14,75,1742,1023,760,353
011420,私立智光商工,48,66,18,27,7,25,75,2057,1044,762,330
011421,私立清傳高商,7,26,3,6,6,7,14,231,370,127,197
011426,私立能仁家商,52,82,32,48,4,21,95,1440,2264,446,774
011427,私立豫章工商,32,39,43,30,5,18,61,1631,763,536,328
011431,私立莊敬工家,82,95,32,41,29,48,104,2040,2237,511,609
011432,私立中華商海,17,6,3,0,4,2,11,241,49,71,24
013402,市立瑞芳高工,72,63,39,21,19,13,60,1355,348,364,165
013430,市立三重商工,74,86,72,52,15,26,86,1897,1033,552,377
013433,市立新北高工,101,83,58,22,14,23,85,2495,581,724,196
013434,市立淡水商工,83,109,0,0,14,22,90,1840,1366,490,474
014439,市立鶯歌工商,59,96,19,10,8,15,63,1014,1290,212,415
020403,國立宜蘭高商,47,81,14,11,9,17,55,977,1016,267,355
020404,國立羅東高商,49,64,21,17,4,18,54,780,1002,207,317
020405,國立蘇澳海事,45,53,8,10,13,15,41,915,336,290,125
020407,國立羅東高工,86,37,26,8,13,18,45,1582,131,494,41
020409,國立頭城家商,43,70,29,40,9,12,57,699,904,240,293
030403,國立桃園農工,93,82,9,5,26,19,85,2496,451,741,166
030407,國立中壢高商,39,113,6,3,7,19,62,923,1343,324,499
030408,國立中壢家商,16,58,4,24,4,15,32,0,1173,0,441
031414,私立成功工商,53,53,19,10,12,30,58,1833,945,663,330
031415,私立方曙商工,13,17,9,4,7,13,23,405,140,234,82
031421,私立永平工商,73,125,5,2,17,22,129,3689,2820,1042,762
041401,私立內思高工,44,26,18,8,5,11,36,1247,277,403,77
050401,國立大湖農工,51,33,0,0,14,10,30,724,349,256,126
050404,國立苗栗農工,84,64,0,0,18,21,54,1423,627,438,212
050407,國立苗栗高商,30,50,0,0,9,10,39,414,905,119,310
051408,私立中興商工,35,36,19,24,6,11,47,1046,742,295,255
051411,私立育民工家,22,16,12,10,12,11,37,562,272,163,117
051412,私立賢德工商,8,1,7,3,1,3,9,150,21,62,11
051413,私立龍德家商,21,20,7,1,3,6,41,485,424,210,237
060401,國立豐原高商,44,108,12,20,5,22,66,723,1395,216,464
060402,國立大甲高工,77,42,23,9,14,19,48,1227,261,421,89
060404,國立東勢高工,100,60,12,8,20,18,63,1733,484,504,183
060407,國立沙鹿高工,93,62,49,13,19,19,70,1801,582,534,176
060408,國立霧峰農工,68,50,45,25,11,16,51,1392,326,462,119
070401,國立彰師附工,103,65,29,13,23,16,72,2300,390,715,125
070402,國立永靖高工,63,43,13,7,12,16,38,1173,259,429,97
070403,國立二林工商,61,64,24,10,11,13,55,1076,573,301,215
070405,國立秀水高工,75,45,87,20,10,18,62,1853,356,561,137
070406,國立彰化高商,51,114,8,20,8,17,74,782,1847,242,627
070408,國立員林農工,52,74,25,24,13,18,57,1202,773,374,296
070409,國立員林崇實高工,58,39,15,6,11,22,46,1177,295,370,105
070410,國立員林家商,24,78,15,39,6,19,54,263,1622,62,544
