學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
343303,市立大直高中,53,96,0,0,7,19,30,558,472,167,203
351301,私立強恕中學,13,16,6,13,6,8,33,451,510,119,107
353301,市立建國中學,116,111,2,6,5,29,88,3344,0,1179,0
353302,市立成功中學,76,98,0,0,6,19,69,2619,0,896,0
353303,市立北一女中,60,124,8,15,4,22,72,0,2741,0,988
361301,私立靜修女中,21,83,0,0,4,10,36,0,1541,0,459
363301,市立明倫高中,47,78,5,12,7,16,48,778,813,246,336
363302,市立成淵高中,50,112,0,0,5,19,36,713,556,239,214
371301,私立立人高中,5,3,2,4,2,6,3,46,14,11,6
373301,市立華江高中,44,73,1,10,6,17,48,824,902,249,331
373302,市立大理高中,50,66,0,0,6,18,27,439,482,157,173
380301,國立政大附中,27,53,0,0,4,16,18,324,344,122,98
381301,私立東山高中,63,85,0,0,6,25,39,1130,765,398,225
381302,私立滬江高中,30,48,27,14,5,18,43,990,539,320,214
381303,私立大誠高中,15,9,10,9,2,3,17,116,94,94,67
381304,私立再興中學,40,59,0,0,10,15,18,507,390,161,127
381305,私立景文高中,61,73,0,0,7,24,59,1464,1026,428,269
383301,市立景美女中,40,115,4,4,7,21,60,0,2167,0,772
383302,市立萬芳高中,51,116,4,9,4,23,33,570,602,136,192
393301,市立南港高中,44,109,0,0,5,21,30,464,538,155,184
393302,市立育成高中,54,94,0,0,10,16,60,1006,993,304,343
401301,私立文德女中,2,21,3,5,2,7,10,0,365,0,172
401302,私立方濟中學,25,21,3,4,4,6,13,414,148,124,41
401303,私立達人女中,9,50,6,13,2,14,9,0,414,0,138
403301,市立內湖高中,57,96,2,11,5,20,63,1089,1065,385,398
403302,市立麗山高中,31,53,0,0,7,9,33,507,400,204,111
403303,市立南湖高中,40,70,1,2,7,17,48,829,821,294,306
411301,私立泰北高中,50,54,13,16,9,12,56,1066,832,332,330
411302,私立衛理女中,15,59,6,12,2,22,15,0,566,0,180
411303,私立華興中學,30,32,0,0,7,4,6,147,130,57,36
413301,市立陽明高中,45,103,5,8,4,17,39,642,676,242,251
413302,市立百齡高中,51,120,2,10,7,20,25,446,437,129,150
421301,私立薇閣高中,54,74,0,0,6,10,21,483,507,156,172
421302,私立十信高中,8,26,8,10,0,6,19,363,343,149,138
421303,臺北市私立奎山實驗高級中學,11,12,0,0,3,5,2,29,32,0,0
423301,市立復興高中,73,113,3,9,7,23,72,1075,1307,269,379
423302,市立中正高中,68,111,1,7,10,15,69,1236,1045,348,416
521301,私立明誠高中,38,41,4,8,7,18,21,473,428,109,87
521303,私立大榮高中,40,19,18,15,8,9,38,1082,85,308,29
523301,市立鼓山高中,34,78,0,0,5,12,27,387,396,118,110
533301,市立左營高中,40,84,10,19,2,15,54,816,1050,284,304
533302,市立新莊高中,34,77,2,8,2,13,45,883,793,250,313
540301,國立中山大學附屬國光高中,31,51,8,7,7,10,18,313,353,122,124
543301,市立中山高中,30,69,4,4,2,14,42,717,836,249,281
543302,市立楠梓高中,31,47,2,1,3,8,30,485,545,141,170
551301,私立立志高中,118,86,48,30,16,26,128,3198,1374,1204,565
553301,市立高雄中學,90,80,25,59,5,17,72,2734,100,878,31
553302,市立三民高中,30,58,1,3,4,12,36,668,634,219,230
563301,市立新興高中,38,67,2,3,3,12,18,294,344,93,140
573301,市立高雄女中,47,99,3,4,3,15,63,0,2535,0,842
580301,國立高師大附中,24,61,4,6,1,17,24,548,293,164,110
581301,私立復華高中,37,54,2,3,4,11,50,823,1072,244,358
581302,天主教道明中學,77,108,3,7,6,23,50,1211,1258,357,344
583301,市立中正高中,45,108,3,6,6,13,33,608,584,197,215
593301,市立前鎮高中,47,58,2,6,4,13,45,764,888,252,275
593302,市立瑞祥高中,60,135,2,7,7,14,27,515,407,171,162
613301,市立小港高中,41,68,7,6,6,9,45,758,874,240,243
710301,國立金門高中,44,32,0,0,8,11,30,478,531,133,160
720301,國立馬祖高中,15,18,0,3,8,8,12,191,133,52,32
011405,私立樹人家商,31,100,13,21,4,20,71,795,2283,201,769
011407,私立復興商工,69,56,28,30,7,25,92,1591,2837,492,916
011408,私立南強工商,44,40,21,17,11,13,54,1143,788,385,241
011413,私立穀保家商,34,76,26,9,3,16,58,1240,1371,347,481
011419,私立開明工商,29,36,33,19,6,10,46,959,513,487,298
011420,私立智光商工,46,67,23,29,7,25,69,1777,947,612,293
011421,私立清傳高商,7,24,2,5,4,7,14,237,282,65,106
011426,私立能仁家商,40,84,52,44,3,16,95,1486,2182,504,833
011427,私立豫章工商,36,40,26,19,5,17,55,1499,598,453,218
011431,私立莊敬工家,92,95,42,47,42,52,112,2122,2777,422,508
011432,私立中華商海,15,3,6,1,1,2,12,232,33,78,14
013402,市立瑞芳高工,76,60,40,22,21,13,60,1274,356,433,93
013430,市立三重商工,85,88,76,51,15,25,87,1885,929,532,310
013433,市立新北高工,111,85,59,22,13,22,92,2530,593,730,179
013434,市立淡水商工,76,104,7,5,14,21,89,1620,1160,461,421
014439,市立鶯歌工商,65,96,21,10,8,16,63,914,1163,214,406
020403,國立宜蘭高商,43,83,10,6,10,14,51,846,916,286,317
020404,國立羅東高商,51,59,20,13,4,18,50,750,862,182,306
020405,國立蘇澳海事,51,43,4,5,15,15,41,785,228,232,111
020407,國立羅東高工,88,36,31,8,14,20,45,1511,113,487,45
020409,國立頭城家商,43,69,21,27,7,15,52,648,747,134,245
030403,國立北科大附屬桃園農工,98,76,51,14,24,18,84,2407,417,684,144
030407,國立中壢高商,43,109,5,4,6,19,60,845,1223,258,467
030408,國立中壢家商,15,59,3,21,5,16,31,0,1015,0,362
031414,私立成功工商,51,40,22,12,9,26,57,1419,701,540,283
031415,私立方曙商工,22,19,0,0,6,4,19,443,134,111,39
031421,私立永平工商,72,116,27,22,18,26,130,3438,2821,1088,903
041401,私立內思高工,47,25,20,6,5,13,37,1299,297,330,79
050401,國立大湖農工,55,30,0,0,15,12,31,669,284,255,111
050404,國立苗栗農工,82,67,0,0,18,19,54,1465,512,404,214
050407,國立苗栗高商,34,46,5,8,6,12,39,362,852,95,277
051408,私立中興商工,32,35,18,20,8,11,45,924,550,260,220
051411,私立育民工家,19,14,13,9,8,10,42,493,253,156,97
051412,私立賢德工商,5,1,5,1,0,0,9,119,21,46,5
051413,私立龍德家商,18,16,0,0,5,6,27,284,337,125,126
060401,國立豐原高商,43,109,10,20,6,21,64,649,1243,202,474
060402,國立大甲高工,78,41,46,11,12,17,48,1143,238,388,81
060404,國立東勢高工,101,57,17,7,20,18,63,1613,411,506,164
060407,國立沙鹿高工,92,66,49,11,19,20,72,1758,586,531,186
060408,國立霧峰農工,68,50,38,20,10,19,50,1298,292,413,107
070401,國立彰師附工,109,63,22,11,22,17,72,2207,348,679,107
070402,國立永靖高工,64,39,3,1,15,14,37,1124,234,355,75
070403,國立二林工商,62,68,22,15,12,11,57,1108,612,337,169
070405,國立秀水高工,74,48,85,28,11,18,61,1753,357,534,125
070406,國立彰化高商,48,116,5,18,8,17,71,687,1750,222,639
070408,國立員林農工,52,75,11,12,14,19,54,1108,665,374,243
070409,國立員林崇實高工,64,39,11,9,14,16,43,1122,282,354,95
070410,國立員林家商,29,74,16,41,6,18,50,247,1392,77,522
070415,國立北斗家商,41,69,4,18,4,14,56,496,1340,130,448
071413,私立大慶商工,30,39,23,11,18,34,73,1599,844,501,283
071414,私立達德商工,84,106,35,27,12,25,136,3614,2585,1060,856
080401,國立仁愛高農,25,26,0,0,7,12,18,289,196,102,56
080403,國立埔里高工,67,37,6,2,12,17,39,962,250,266,95
080404,國立南投高商,30,71,8,16,4,16,43,481,713,169,256
080406,國立草屯商工,62,76,13,13,12,21,55,802,827,306,266
080410,國立水里商工,33,43,8,6,11,11,36,606,483,198,169
081409,私立同德家商,42,65,19,14,10,17,64,1325,1226,339,332
090401,國立虎尾農工,57,44,0,0,17,12,43,1017,381,330,133
090402,國立西螺農工,66,62,17,9,15,13,50,1262,434,415,153
090403,國立斗六家商,30,47,17,23,3,20,33,351,781,126,273
090404,國立北港農工,51,32,0,0,7,16,31,850,145,244,50
090413,國立土庫商工,41,46,6,1,6,17,32,398,691,136,230
091410,私立大成商工,83,48,8,5,21,29,86,2200,1161,602,370
091414,私立大德工商,34,20,7,3,4,8,30,469,325,183,154
100402,國立民雄農工,71,37,1,1,9,20,39,1005,161,339,60
101405,私立協志工商,70,46,35,30,11,15,90,1893,1420,612,439
101406,私立萬能工商,45,26,0,0,17,10,44,1261,744,467,247
101407,私立弘德工商,12,2,6,1,1,3,10,122,78,41,26
110401,國立新化高工,49,44,12,8,11,14,39,1065,231,343,91
110403,國立白河商工,32,37,0,0,11,16,26,417,155,119,52
110404,國立北門農工,74,66,9,13,13,20,56,1207,513,379,196
110405,國立曾文家商,26,48,4,6,7,11,30,211,798,77,309
110406,國立新營高工,74,40,3,0,14,17,46,1118,330,355,106
110407,國立玉井工商,43,35,3,0,10,11,33,601,296,194,102
110409,國立臺南高工,142,75,49,22,27,27,87,2456,338,858,111
110410,國立曾文農工,70,67,9,5,17,19,54,1141,499,372,188
111419,私立陽明工商,23,12,11,4,5,11,26,482,237,195,106
111427,私立育德工家,41,32,6,2,4,11,38,644,599,235,186
120401,國立旗山農工,55,46,0,0,16,14,39,926,289,293,96
120402,國立岡山農工,88,70,51,21,15,22,69,1582,575,489,218
120409,國立鳳山商工,73,81,6,5,13,22,77,1120,1361,295,473
121405,私立中山工商,157,197,14,9,18,41,182,6061,3675,1963,1032
121410,私立旗美商工,8,2,12,5,2,2,11,156,56,69,34
121413,私立高英工商,56,45,17,13,11,24,66,1757,706,523,234
121415,私立華德工家,21,12,7,5,3,2,31,440,232,160,95
121417,私立高苑工商,51,49,41,23,11,23,72,1640,690,486,233
130401,國立內埔農工,56,44,0,1,14,14,37,737,361,202,132
130403,國立屏東高工,99,75,19,11,21,17,70,1677,359,541,93
130404,國立佳冬高農,39,63,14,13,11,15,44,785,510,242,207
130410,國立東港海事,43,50,6,1,11,16,39,902,440,256,172
130417,國立恆春工商,44,52,9,16,8,11,39,537,461,137,130
131409,私立民生家商,20,32,29,45,4,18,44,719,816,230,304
131416,私立華洲工家,8,6,12,12,5,8,15,178,82,74,44
131418,私立日新工商,9,15,18,19,2,9,23,328,163,132,79
140404,國立關山工商,29,24,0,0,7,14,19,182,109,49,34
140405,國立臺東高商,36,66,11,10,7,13,41,354,681,142,217
140408,國立成功商水,19,16,0,0,4,11,12,160,81,54,33
141406,私立公東高工,38,32,3,2,9,19,39,927,524,244,131
150401,國立花蓮高農,41,50,0,0,11,18,35,444,378,150,140
150404,國立花蓮高工,93,57,10,9,18,20,55,1254,255,386,69
150405,國立花蓮高商,33,60,7,17,4,15,39,408,747,142,251
150411,國立光復商工,22,22,1,4,7,11,17,175,140,49,45
151410,花蓮縣上騰工商,19,16,11,9,6,6,27,313,206,86,43
160401,國立澎湖海事水產,57,51,6,1,16,18,46,843,467,195,156
170403,國立基隆海事,56,60,3,6,13,19,48,890,457,207,175
170404,國立基隆商工,71,86,9,18,9,21,67,1013,1007,294,388
171405,私立光隆家商,18,26,24,19,3,5,36,423,821,85,173
171407,私立培德工家,10,13,2,1,2,4,18,333,141,110,82
180403,國立新竹高商,25,79,13,25,6,16,48,626,1180,173,404
180404,國立新竹高工,69,64,9,13,8,23,51,1298,407,425,155
190404,國立臺中家商,52,119,5,6,9,16,83,550,1961,138,736
190406,國立興大附農,52,109,32,48,16,21,84,1312,1365,461,471
190407,國立臺中高工,158,100,73,19,28,31,110,3227,508,1083,172
191412,財團法人光華高工,47,33,14,11,13,16,50,1606,257,610,90
200401,國立華南高商,36,72,1,2,5,16,42,563,920,164,363
200405,國立嘉義高工,152,71,17,10,21,23,96,2247,726,772,219
200406,國立嘉義高商,43,68,6,9,1,20,45,472,1075,164,391
200407,國立嘉義家職,17,81,1,9,7,13,42,139,1095,0,418
201408,私立東吳工家,55,63,15,39,16,16,84,1595,1979,485,560
210408,國立臺南高商,50,101,7,19,6,16,66,614,1454,156,574
210416,國立臺南海事,44,30,15,15,12,9,34,843,334,260,105
211407,私立南英商工,40,49,56,44,10,23,65,1730,777,490,215
211412,私立亞洲餐旅,18,21,12,12,4,6,30,724,558,206,174
211419,私立慈幼工商,44,24,26,9,13,13,45,1403,317,457,91
311401,私立育達家商,48,124,94,95,1,18,146,3067,4136,719,1050
323401,市立松山家商,41,102,8,4,3,19,66,663,1444,268,632
323402,市立松山工農,111,95,6,8,15,28,70,2051,469,637,169
331402,私立東方工商,11,24,1,4,1,5,18,189,286,102,148
331403,私立喬治工商,12,20,7,7,6,4,22,196,369,59,121
331404,私立開平餐飲,32,35,0,0,1,10,35,913,537,280,143
333401,市立大安高工,146,114,20,7,23,29,101,3000,481,1024,184
341402,私立稻江護家,15,57,10,26,6,16,45,0,1812,0,617
351402,私立開南商工,34,37,30,12,10,15,50,1324,275,481,118
361401,私立稻江高商,30,49,19,11,6,15,42,652,834,248,335
383401,市立木柵高工,95,75,4,1,19,22,57,1718,302,447,110
393401,市立南港高工,113,95,6,3,33,22,72,2112,297,809,103
403401,市立內湖高工,87,64,0,0,21,17,58,1672,308,496,90
411401,私立華岡藝校,10,22,74,92,0,7,18,210,633,64,181
413401,市立士林高商,62,136,0,5,8,19,84,891,1862,274,807
421404,私立惇敘工商,36,17,4,4,7,5,31,936,64,276,40
521401,私立中華藝校,28,28,27,53,10,17,33,431,864,98,221
